PERFUME_ID,SEASON,ratio,LOAD_DT
8645,Spring,39.29,2026-01-20 08:39:39
8646,Spring,34.92,2026-01-20 08:39:39
8646,Fall,25.4,2026-01-20 08:39:39
8646,Summer,25.4,2026-01-20 08:39:39
8649,Spring,33.41,2026-01-20 08:39:39
8649,Summer,25.84,2026-01-20 08:39:39
8649,Fall,25.17,2026-01-20 08:39:39
8650,Spring,41.38,2026-01-20 08:39:39
8650,Summer,31.03,2026-01-20 08:39:39
8653,Spring,37.56,2026-01-20 08:39:39
8653,Summer,33.49,2026-01-20 08:39:39
8655,Spring,34.55,2026-01-20 08:39:39
8655,Summer,30.91,2026-01-20 08:39:39
8655,Fall,27.27,2026-01-20 08:39:39
8657,Summer,36.95,2026-01-20 08:39:39
8657,Spring,36.69,2026-01-20 08:39:39
8657,Fall,20.16,2026-01-20 08:39:39
8659,Spring,31.48,2026-01-20 08:39:39
8659,Fall,27.78,2026-01-20 08:39:39
8659,Summer,24.07,2026-01-20 08:39:39
8661,Summer,37.69,2026-01-20 08:39:39
8661,Spring,37.19,2026-01-20 08:39:39
8661,Fall,20.1,2026-01-20 08:39:39
8663,Spring,38.64,2026-01-20 08:39:39
8663,Summer,25.0,2026-01-20 08:39:39
8663,Fall,22.73,2026-01-20 08:39:39
8665,Spring,35.09,2026-01-20 08:39:39
8665,Summer,31.08,2026-01-20 08:39:39
8665,Fall,21.55,2026-01-20 08:39:39
8667,Spring,45.45,2026-01-20 08:39:39
8667,Summer,40.91,2026-01-20 08:39:39
8669,Fall,35.93,2026-01-20 08:39:39
8669,Winter,31.14,2026-01-20 08:39:39
8669,Spring,23.05,2026-01-20 08:39:39
8671,Spring,30.14,2026-01-20 08:39:39
8671,Fall,28.77,2026-01-20 08:39:39
8671,Winter,20.55,2026-01-20 08:39:39
8671,Summer,20.55,2026-01-20 08:39:39
8673,Spring,31.18,2026-01-20 08:39:39
8673,Fall,29.12,2026-01-20 08:39:39
8673,Summer,24.71,2026-01-20 08:39:39
8676,Winter,40.54,2026-01-20 08:39:39
8676,Fall,39.7,2026-01-20 08:39:39
8677,Summer,47.27,2026-01-20 08:39:39
8677,Spring,40.91,2026-01-20 08:39:39
8679,Spring,41.38,2026-01-20 08:39:39
8679,Summer,27.59,2026-01-20 08:39:39
8679,Fall,24.14,2026-01-20 08:39:39
8680,Spring,41.01,2026-01-20 08:39:39
8680,Summer,35.09,2026-01-20 08:39:39
8681,Spring,34.48,2026-01-20 08:39:39
8681,Summer,28.12,2026-01-20 08:39:39
8681,Fall,25.73,2026-01-20 08:39:39
8683,Spring,36.36,2026-01-20 08:39:39
8683,Fall,29.09,2026-01-20 08:39:39
8683,Summer,20.0,2026-01-20 08:39:39
8684,Fall,35.04,2026-01-20 08:39:39
8684,Winter,29.65,2026-01-20 08:39:39
8684,Spring,23.18,2026-01-20 08:39:39
8685,Spring,30.77,2026-01-20 08:39:39
8685,Fall,27.85,2026-01-20 08:39:39
8685,Summer,23.34,2026-01-20 08:39:39
8687,Spring,36.0,2026-01-20 08:39:39
8687,Fall,30.0,2026-01-20 08:39:39
8687,Summer,22.0,2026-01-20 08:39:39
8689,Summer,39.56,2026-01-20 08:39:39
8689,Spring,39.56,2026-01-20 08:39:39
8691,Spring,31.58,2026-01-20 08:39:39
8691,Fall,28.95,2026-01-20 08:39:39
8691,Summer,28.95,2026-01-20 08:39:39
8692,Spring,31.33,2026-01-20 08:39:39
8692,Fall,27.23,2026-01-20 08:39:39
8692,Summer,23.86,2026-01-20 08:39:39
8695,Spring,36.59,2026-01-20 08:39:39
8695,Summer,31.71,2026-01-20 08:39:39
8695,Fall,21.95,2026-01-20 08:39:39
8696,Fall,35.47,2026-01-20 08:39:39
8696,Winter,27.62,2026-01-20 08:39:39
8696,Spring,25.29,2026-01-20 08:39:39
8697,Spring,29.81,2026-01-20 08:39:39
8697,Fall,28.69,2026-01-20 08:39:39
8697,Summer,21.17,2026-01-20 08:39:39
8697,Winter,20.33,2026-01-20 08:39:39
8699,Winter,43.55,2026-01-20 08:39:39
8699,Fall,41.81,2026-01-20 08:39:39
8700,Spring,37.5,2026-01-20 08:39:39
8700,Summer,32.14,2026-01-20 08:39:39
8701,Summer,40.83,2026-01-20 08:39:39
8701,Spring,37.49,2026-01-20 08:39:39
8703,Winter,39.38,2026-01-20 08:39:39
8703,Fall,39.38,2026-01-20 08:39:39
8704,Fall,37.84,2026-01-20 08:39:39
8704,Winter,27.03,2026-01-20 08:39:39
8704,Spring,24.32,2026-01-20 08:39:39
8705,Fall,37.03,2026-01-20 08:39:39
8705,Winter,33.92,2026-01-20 08:39:39
8705,Spring,21.4,2026-01-20 08:39:39
8707,Winter,43.82,2026-01-20 08:39:39
8707,Fall,40.24,2026-01-20 08:39:39
8708,Spring,39.39,2026-01-20 08:39:39
8708,Summer,30.3,2026-01-20 08:39:39
8709,Spring,34.76,2026-01-20 08:39:39
8709,Summer,29.62,2026-01-20 08:39:39
8709,Fall,22.77,2026-01-20 08:39:39
8711,Spring,35.95,2026-01-20 08:39:39
8711,Fall,26.03,2026-01-20 08:39:39
8711,Summer,25.21,2026-01-20 08:39:39
8712,Fall,35.14,2026-01-20 08:39:39
8712,Spring,29.73,2026-01-20 08:39:39
8712,Summer,24.32,2026-01-20 08:39:39
8713,Winter,41.71,2026-01-20 08:39:39
8713,Fall,39.34,2026-01-20 08:39:39
8715,Summer,50.0,2026-01-20 08:39:39
8715,Spring,29.89,2026-01-20 08:39:39
